,Model,Horizon,apache_groovy,apache_incubator_dubbo,apache_kafka,apache_nifi,apache_ofbiz,apache_systemml,commonsio,google_guava,igniterealtime_openfire,java_websocket,jenkinsci_jenkins,spring-projects_spring-boot,square_okhttp,square_retrofit,zxing_zxing,mean
14,RidgeRegression,40,48647.46440973499,2326.7107102366494,5420.202608848531,2513.839821056902,5023.628328933191,4271.399888709229,417.9221755692321,5189.4993164791385,13797.09746735865,637.733097990546,3130.393156214386,137.3525121828185,936.6299776696866,277.85862585908,71.4290846473349,6186.610745432689
15,SGDRegression,1,36904.277678821454,4164.7178122860505,1097.2546458502527,2342.5940505505305,749.6717354748523,2555.9658143595434,78.7407054554557,1658.4670797896426,19816.482210649567,160.56105331460543,874.489834891491,66.91211521532792,397.9113957663827,206.46475933789227,63.656789663603256,4742.544512095109
16,SGDRegression,5,103026.66479279546,5642.711282012337,2530.9864032307587,3893.2675404029037,3550.4847216587686,3735.3517135086463,189.7577731456466,3412.1066166755054,24774.412522939263,301.97843590418097,2298.308005978752,124.56504324873234,519.4949592336652,338.64428786868893,84.45059727022152,10294.878979724903
17,SGDRegression,10,1088444.7700606287,8581.51955615095,2471.4558881965413,3841.4333231625706,7658.986447517019,5812.772309930773,245.31503274452945,5939.148154927096,192491.7125194927,617.6729381868079,3337.417037853085,375.13572524034464,1032.6036456608185,851.6044509328115,180.76977591714166,88125.48779110282
18,SGDRegression,20,882591.417785153,7679.707006667893,3963.044731039166,2907.0026115770843,19582.985374782038,6434.043982540752,440.7903586371913,26397.650255416425,53887.35706453223,971.707811280243,4048.287041052989,221.5885565291729,1704.0723381346088,665.5090715484811,120.87771838296162,67441.0694471516
19,SGDRegression,40,2836719.543418306,5668.780702290873,7518.885651158172,2281.4599574143294,7105.907174483082,3986.1561681636776,378.7226167201861,19446.79841283715,13427.948977024207,265.68684454739054,4250.206164700405,208.92129288412218,1788.7903681560965,655.1950845602094,201.1974186227024,193593.61335012456
20,SVR_rbf,1,17192.426283728586,2613.113227974979,6483.081694338903,10393.464909343284,1338.8041435491245,2186.1059565155997,59.10478172777837,1470.1904237228055,13261.229230504507,190.00863969711548,2799.7260603113814,429.19707995960346,1668.9201486037207,497.89500363904205,50.88723191066261,4042.276987701807
21,SVR_rbf,5,22831.383486012863,3089.6204174400805,7017.83511932715,5407.407816184206,3086.1819523914046,8822.668492593013,150.43617543312186,4726.999404740685,17594.17869531166,275.45307567529386,7601.968500970617,708.1971160674733,3116.3028615459916,785.1242585841201,126.20204448232569,5689.330627784
22,SVR_rbf,10,33202.92174018528,5337.273362706178,7220.328089992472,11043.431528211477,4795.540949300541,10287.980988928437,235.808092078171,12457.503252955346,39632.68470787235,474.92108855897334,9680.980123468502,885.1074606442937,6086.629003243119,810.8944915591588,155.91080457903522,9487.194378952223
23,SVR_rbf,20,41995.904499157085,4130.035483670236,5375.189432242584,7719.1314887563285,20983.86675680283,19966.50845539473,487.3755853388408,25447.59985716182,28088.341937810404,989.4507759505298,9267.805360485527,950.8086406932513,3632.135247267277,1347.6780375780982,171.5829822114959,11370.227636034739
24,SVR_rbf,40,59625.405571377356,2208.2178832413333,4484.834997664388,3797.031037570589,5843.113653062338,5137.617634294854,387.34915892791014,10317.292544374803,16894.598583663523,274.47601664730223,3860.0885854975613,707.1725859595608,2210.946890756738,1286.2244297024017,236.7601581162277,7818.07531539046
25,SVR_linear,1,5637.639223348706,2586.232509533222,791.9776646022458,2907.3881463185226,845.9862868478992,1632.3094924799814,58.82263440642023,1280.2409527248644,13705.093783035909,170.15604176601516,678.3882388052989,54.14497990432689,228.3368886467123,177.31877364762587,46.56844149014733,2053.3736038371926
26,SVR_linear,5,97554.1961970732,3265.0004298644594,2998.513882557057,4871.617608968208,4280.932508202069,4232.71109488027,144.37658003182932,2529.9340169431457,19734.433649036575,287.04749701106607,1719.0835334434457,147.41842665648355,374.8183014363326,555.6869613498392,117.14221273450067,9520.860860012566
