,Model,Horizon,apache_groovy,apache_incubator_dubbo,apache_kafka,apache_nifi,apache_ofbiz,apache_systemml,commonsio,google_guava,igniterealtime_openfire,java_websocket,jenkinsci_jenkins,spring-projects_spring-boot,square_okhttp,square_retrofit,zxing_zxing,mean
13,RidgeRegression,20,24596.022961192117,4250.057736188358,3218.782624792459,1887.4546249084462,8863.137156282539,9171.247808950799,204.47863451400025,6555.954970211021,24456.574680376325,633.654250187901,8439.840095188214,238.72524177378608,645.8692386558171,298.8999256420459,126.65877741119367,6239.157248418336
14,RidgeRegression,40,30587.177624428245,1960.1832902801752,5055.8006754402795,2381.467564989695,4866.715012916062,3727.0844754581835,362.82829164701405,4574.42948380055,12828.750886470154,588.9748241011182,2285.664081320313,125.39074596383954,796.0408088399168,265.62621394186533,66.26812428903746,4698.160140259098
15,SGDRegression,1,15305.212997492414,3094.766769072642,866.0226062302678,1995.7051477616196,633.0197254892877,2328.712871236748,50.296354931848754,1199.9955622977282,14932.700592812826,105.5094512644516,599.9173319777764,45.2856244986252,319.5487102446465,159.88644706729022,55.74769761857131,2779.488525999783
16,SGDRegression,5,43695.8378566114,5087.305881534701,2151.4983864992882,3658.2085858566807,3232.443378157289,3278.304538368081,144.1816234706817,2837.9520079380245,20317.891356198772,226.24974837560944,1821.053767516299,97.99191951838802,416.5369840062258,276.95774002598773,74.16110488315626,5821.104991930705
17,SGDRegression,10,1031463.7526688682,7287.212683391315,2147.4385390067314,3428.488758063737,7100.233884726989,5143.870369153654,189.15298523999317,4435.596380488145,174295.48320896088,504.5359289182926,2772.579907417643,337.5876877388274,915.7098446191318,619.2735513580121,163.96209494797282,82720.32523285995
18,SGDRegression,20,721822.5590066416,5368.726740175966,3446.5298315709238,2456.1186458365887,17872.010551242074,5729.846477025682,384.61839574398806,26011.959143380413,41838.886470627534,902.6316200803255,3504.3267735153786,195.0202186669785,1447.3594798907702,611.9916219961274,107.35186756556055,55446.66245626399
19,SGDRegression,40,2570360.8520061607,5165.246194901306,6916.031992346417,2227.631421538196,6913.752889454828,3582.1405362610326,333.36817132349404,14538.09810968021,12046.753212044832,215.97795731963117,3288.004426700213,192.14340709854667,1562.6764237298162,585.6210068401407,176.34877475333025,175206.97643534353
20,SVR_rbf,1,11995.37640733056,2008.9358400237957,5747.018488397998,9082.943227251033,930.3930286542259,1838.091464272166,18.929795071333412,1062.1605260828915,10730.756732809148,127.68189282081266,2039.5026191110271,334.15870203597626,1416.4278005433541,356.4054787057148,39.534799583971775,3181.887786846267
21,SVR_rbf,5,16971.432315243343,2572.2633244689437,6292.600267468161,4712.583622826076,2914.2457282649475,8015.562384173456,95.40542360528596,3937.076771112702,15499.193367373446,211.45304653971877,5425.882351565719,583.628999720529,2251.8495524843465,659.8869803332451,117.8464240420527,4684.060703948132
22,SVR_rbf,10,28769.725581228984,4982.8419413779,6463.063194078348,9881.555885841786,4428.916677677935,8838.751643205072,166.7532562708041,9821.169084328487,38049.73637569277,352.37661071156157,7404.60595029493,723.99049853431,5629.712879913526,721.0526247123119,139.77489194090666,8424.935139720645
