project,model,parameter,value
apache_groovy_measures,SVR_rbf,C,10000000
apache_groovy_measures,RandomForestRegressor,n_estimators,100
apache_groovy_measures,RandomForestRegressor,max_depth,20
apache_groovy_measures,RandomForestRegressor,random_state,0
commonsio_measures,LinearRegression,,
commonsio_measures,LassoRegression,alpha,100
commonsio_measures,RidgeRegression,alpha,10000
commonsio_measures,SGDRegression,max_iter,1000
commonsio_measures,SGDRegression,tol,1.00E-03
commonsio_measures,SVR_linear,kernel,linear
commonsio_measures,SVR_linear,C,1000
commonsio_measures,SVR_rbf,kernel,rbf
commonsio_measures,SVR_rbf,gamma,0.0001
commonsio_measures,SVR_rbf,C,1000000
commonsio_measures,RandomForestRegressor,n_estimators,100
commonsio_measures,RandomForestRegressor,max_depth,5
commonsio_measures,RandomForestRegressor,random_state,0
